en,zh,assigned_domain,confidence,neighbor_1,neighbor_2,neighbor_3,neighbor_4,neighbor_5,neighbor_6,neighbor_7,annotation
impugn,駁斥,criminal,0.7143,extortionate [criminal] sim=0.755,distort [civil] sim=0.728,extortion [criminal] sim=0.699,reprobation [criminal] sim=0.688,accused [criminal] sim=0.686,nuisance [civil] sim=0.678,criminalise [criminal] sim=0.673,
in posse,可能存在的 ※比較 in esse,criminal,0.7143,in camera [procedure] sim=0.673,indictment [criminal] sim=0.659,homicide [criminal] sim=0.657,robbery [criminal] sim=0.656,accomplice [criminal] sim=0.643,parole [criminal] sim=0.639,constitute [constitutional] sim=0.637,
incendiarism,煽動,criminal,0.7143,conspiracy [criminal] sim=0.725,genocide [international] sim=0.663,manslaughter [criminal] sim=0.660,recklessness [criminal] sim=0.648,forgery [criminal] sim=0.642,extortion [criminal] sim=0.636,duplicitous pleading [procedure] sim=0.635,
incrimination,導致入罪,criminal,0.7143,perjury [criminal] sim=0.778,indictment [criminal] sim=0.766,accused [criminal] sim=0.754,prosecution [criminal] sim=0.753,subpoena [procedure] sim=0.751,affidavit [procedure] sim=0.748,conviction [criminal] sim=0.738,
indecent,嚴重猥褻,criminal,0.7143,extortionate [criminal] sim=0.755,assault [criminal] sim=0.725,manslaughter [criminal] sim=0.723,recklessness [criminal] sim=0.716,larceny [criminal] sim=0.711,inadmissible [procedure] sim=0.710,tortious [civil] sim=0.709,
inducement,利誘,criminal,0.7143,bribery [criminal] sim=0.731,extortion [criminal] sim=0.717,extortionate [criminal] sim=0.697,approbation [criminal] sim=0.683,attestation [civil] sim=0.679,testation [civil] sim=0.676,indictment [criminal] sim=0.669,
informant; informer,告發人,criminal,0.7143,accomplice [criminal] sim=0.741,hearsay [procedure] sim=0.707,bribery [criminal] sim=0.663,envoy [international] sim=0.662,corruption [criminal] sim=0.661,conspiracy [criminal] sim=0.659,extortion [criminal] sim=0.656,
injustice,不公正的情況,criminal,0.7143,equality [constitutional] sim=0.754,corruption [criminal] sim=0.752,unconstitutional [constitutional] sim=0.744,manslaughter [criminal] sim=0.736,extortion [criminal] sim=0.714,theft [criminal] sim=0.708,criminality [criminal] sim=0.706,
innuendo,影射,criminal,0.7143,conspiracy [criminal] sim=0.694,extortionate [criminal] sim=0.684,inchoate [criminal] sim=0.681,distort [civil] sim=0.679,assault [criminal] sim=0.674,forgery [criminal] sim=0.673,gratification [international] sim=0.668,
insubordination,不服從上級,criminal,0.7143,recklessness [criminal] sim=0.744,duplicitous pleading [procedure] sim=0.732,extortionate [criminal] sim=0.727,extortion [criminal] sim=0.727,manslaughter [criminal] sim=0.721,reprobation [criminal] sim=0.714,inadvertent negligence [civil] sim=0.711,
interdict,停止某人的職務,criminal,0.7143,extortion [criminal] sim=0.715,blackmail [criminal] sim=0.700,extortionate [criminal] sim=0.690,larceny [criminal] sim=0.689,veto [constitutional] sim=0.677,trespass [civil] sim=0.671,parole [criminal] sim=0.661,
irresistible force,不可抗力 ☛參看 force majeure,criminal,0.7143,assault [criminal] sim=0.672,extortion [criminal] sim=0.663,extortionate [criminal] sim=0.660,blackmail [criminal] sim=0.646,duplicitous pleading [procedure] sim=0.635,indictment [criminal] sim=0.632,nuisance [civil] sim=0.631,
judgment,判（決）某人勝訴,criminal,0.7143,conviction [criminal] sim=0.733,probation [criminal] sim=0.726,dismissal [labor_social] sim=0.719,sentencing [criminal] sim=0.717,penalty [criminal] sim=0.716,testamentary [civil] sim=0.702,acquittal [criminal] sim=0.700,
justice,公正,criminal,0.7143,murder [criminal] sim=0.776,manslaughter [criminal] sim=0.762,freedom [constitutional] sim=0.757,conviction [criminal] sim=0.745,probation [criminal] sim=0.739,equality [constitutional] sim=0.734,homicide [criminal] sim=0.732,
malice,惡意,criminal,0.7143,nuisance [civil] sim=0.734,homicide [criminal] sim=0.732,recklessness [criminal] sim=0.728,murder [criminal] sim=0.726,manslaughter [criminal] sim=0.714,tortious [civil] sim=0.710,conspiracy [criminal] sim=0.707,
manning,人手配置,criminal,0.7143,assault [criminal] sim=0.696,labour [labor_social] sim=0.670,homicide [criminal] sim=0.669,manslaughter [criminal] sim=0.662,labouring [labor_social] sim=0.650,murder [criminal] sim=0.649,extortion [criminal] sim=0.640,
mental,精神上的,criminal,0.7143,recklessness [criminal] sim=0.649,labour [labor_social] sim=0.645,asylum [international] sim=0.644,penal [criminal] sim=0.639,criminality [criminal] sim=0.639,murder [criminal] sim=0.635,assault [criminal] sim=0.635,
mentally,精神上,criminal,0.7143,criminally [criminal] sim=0.652,gratification [international] sim=0.636,patently [civil] sim=0.618,recklessness [criminal] sim=0.618,conviction [criminal] sim=0.612,criminality [criminal] sim=0.611,homicide [criminal] sim=0.610,
misbehaviour,行為不檢,criminal,0.7143,mispleading [procedure] sim=0.761,recklessness [criminal] sim=0.752,criminality [criminal] sim=0.739,misjoinder [procedure] sim=0.728,manslaughter [criminal] sim=0.723,larceny [criminal] sim=0.715,theft [criminal] sim=0.707,
misconduct,公職人員行為失當,criminal,0.7143,corruption [criminal] sim=0.783,recklessness [criminal] sim=0.750,assault [criminal] sim=0.745,defamation [civil] sim=0.743,inadvertent negligence [civil] sim=0.743,perjury [criminal] sim=0.740,manslaughter [criminal] sim=0.738,
mistrial,審判失誤〔因審訊程序有錯誤〕,criminal,0.7143,acquittal [criminal] sim=0.750,subornation of perjury [criminal] sim=0.711,dismissal [labor_social] sim=0.700,prosecution [criminal] sim=0.698,perjury [criminal] sim=0.692,subpoena [procedure] sim=0.692,remand [criminal] sim=0.691,
molestation,騷擾 ※比較 non-molestation,criminal,0.7143,torture [civil] sim=0.789,assault [criminal] sim=0.745,extortion [criminal] sim=0.729,harassment [labor_social] sim=0.729,blackmail [criminal] sim=0.709,manslaughter [criminal] sim=0.700,corruption [criminal] sim=0.682,
moral depravity,卑劣行為,criminal,0.7143,criminality [criminal] sim=0.732,recidivism [criminal] sim=0.711,corruption [criminal] sim=0.707,manslaughter [criminal] sim=0.691,genocide [international] sim=0.683,torture [civil] sim=0.682,recklessness [criminal] sim=0.682,
paraphernalia,生財工具,criminal,0.7143,accessory [criminal] sim=0.706,nuisance [civil] sim=0.664,larceny [criminal] sim=0.632,forgery [criminal] sim=0.630,criminalisation [criminal] sim=0.629,trespass on the case [civil] sim=0.627,criminality [criminal] sim=0.622,
pawnshop,當鋪,criminal,0.7143,robbery [criminal] sim=0.674,theft [criminal] sim=0.632,larceny [criminal] sim=0.625,restitution [civil] sim=0.618,bribery [criminal] sim=0.611,extortion [criminal] sim=0.610,franchised [constitutional] sim=0.608,
peril,危險,criminal,0.7143,recklessness [criminal] sim=0.700,penalty [criminal] sim=0.680,larceny [criminal] sim=0.674,tort [civil] sim=0.668,theft [criminal] sim=0.668,perjury [criminal] sim=0.665,nuisance [civil] sim=0.665,
post-judgment,判決後,criminal,0.7143,post-release [civil] sim=0.771,acquittal [criminal] sim=0.681,dismissal [labor_social] sim=0.672,remand [criminal] sim=0.670,conviction [criminal] sim=0.668,probation [criminal] sim=0.667,pre-sentencing [criminal] sim=0.662,
prohibition,禁令,criminal,0.7143,freedom [constitutional] sim=0.705,corruption [criminal] sim=0.682,larceny [criminal] sim=0.674,recidivism [criminal] sim=0.670,congress [constitutional] sim=0.669,criminalisation [criminal] sim=0.667,criminality [criminal] sim=0.665,
red tape,官僚作風〔原指紮文件的紅帶〕,criminal,0.7143,corruption [criminal] sim=0.687,probation [criminal] sim=0.669,bribery [criminal] sim=0.664,penalty [criminal] sim=0.662,extortion [criminal] sim=0.662,occupational safety [labor_social] sim=0.655,overtime [labor_social] sim=0.652,
rehabilitation,恢復,criminal,0.7143,reconstitute [constitutional] sim=0.708,recidivism [criminal] sim=0.690,recidivist [criminal] sim=0.650,conviction [criminal] sim=0.649,parole [criminal] sim=0.643,probation [criminal] sim=0.638,re-employment [labor_social] sim=0.636,
repression,制止,criminal,0.7143,torture [civil] sim=0.727,imprisonment [criminal] sim=0.707,blackmail [criminal] sim=0.700,criminalisation [criminal] sim=0.689,harassment [labor_social] sim=0.688,extortion [criminal] sim=0.688,conviction [criminal] sim=0.683,
reprisal,報復,criminal,0.7143,reprobation [criminal] sim=0.729,recidivism [criminal] sim=0.703,recidivist [criminal] sim=0.698,extortion [criminal] sim=0.697,torture [civil] sim=0.692,manslaughter [criminal] sim=0.691,repledge [civil] sim=0.688,
residue,剩餘物,criminal,0.7143,conviction [criminal] sim=0.683,nuisance [civil] sim=0.667,corruption [criminal] sim=0.665,probation [criminal] sim=0.660,larceny [criminal] sim=0.653,surety [civil] sim=0.648,accessory [criminal] sim=0.648,
restraint,限制,criminal,0.7143,imprisonment [criminal] sim=0.721,extortion [criminal] sim=0.700,penalty [criminal] sim=0.693,assault [criminal] sim=0.690,torture [civil] sim=0.687,penal [criminal] sim=0.681,martial law [constitutional] sim=0.679,
sanction,（附加）獎懲條款,criminal,0.7143,penalty [criminal] sim=0.762,strike [labor_social] sim=0.710,imprisonment [criminal] sim=0.695,indictment [criminal] sim=0.690,veto [constitutional] sim=0.687,extortion [criminal] sim=0.684,convict sb. of an offence [criminal] sim=0.683,
scandalous,令人反感,criminal,0.7143,corruption [criminal] sim=0.722,criminally [criminal] sim=0.702,duplicitous pleading [procedure] sim=0.684,recklessness [criminal] sim=0.675,bribery [criminal] sim=0.674,tortious [civil] sim=0.674,extortionate [criminal] sim=0.674,
Secretary for Justice,律政司司長（香港）,criminal,0.7143,Director of Public Prosecutions; DPP [criminal] sim=0.726,Administrative Secretary [administrative] sim=0.644,prosecution [criminal] sim=0.643,Head of State [constitutional] sim=0.643,conviction [criminal] sim=0.642,probationer [criminal] sim=0.630,sentencing [criminal] sim=0.616,
slip,失誤,criminal,0.7143,underlease [civil] sim=0.715,penalty [criminal] sim=0.714,probation [criminal] sim=0.702,larceny [criminal] sim=0.700,mispleading [procedure] sim=0.695,probationary [criminal] sim=0.689,inchoate [criminal] sim=0.682,
star witness,主要證人,criminal,0.7143,accused [criminal] sim=0.636,co-accused [criminal] sim=0.636,subornation of perjury [criminal] sim=0.628,accomplice [criminal] sim=0.627,perjury [criminal] sim=0.623,hearsay [procedure] sim=0.620,duplicitous pleading [procedure] sim=0.618,
strict,嚴格,criminal,0.7143,penal [criminal] sim=0.703,extortionate [criminal] sim=0.697,pledge [civil] sim=0.678,testamentary [civil] sim=0.674,penalty [criminal] sim=0.672,imprisonment [criminal] sim=0.666,probation [criminal] sim=0.666,
suspend,中止,criminal,0.7143,dismissal [labor_social] sim=0.683,penalty [criminal] sim=0.683,imprisonment [criminal] sim=0.680,remand [criminal] sim=0.668,probation [criminal] sim=0.661,incarceration [criminal] sim=0.660,martial law [constitutional] sim=0.650,
suspension,暫停,criminal,0.7143,penalty [criminal] sim=0.704,dismissal [labor_social] sim=0.694,freedom [constitutional] sim=0.686,probation [criminal] sim=0.673,incarceration [criminal] sim=0.667,imprisonment [criminal] sim=0.665,remand [criminal] sim=0.660,
trial,審訊持續期,criminal,0.7143,prosecution [criminal] sim=0.766,remand [criminal] sim=0.744,cross-examination [procedure] sim=0.743,conviction [criminal] sim=0.731,patent [civil] sim=0.721,co-accused [criminal] sim=0.710,indictment [criminal] sim=0.709,
verdict,裁決,criminal,0.7143,conviction [criminal] sim=0.797,acquittal [criminal] sim=0.789,sentencing [criminal] sim=0.737,indictment [criminal] sim=0.712,hearsay [procedure] sim=0.711,dismissal [labor_social] sim=0.711,murder [criminal] sim=0.697,
want of,欠缺,criminal,0.7143,theft [criminal] sim=0.685,extortionate [criminal] sim=0.681,gratification [international] sim=0.660,mispleading [procedure] sim=0.658,extortion [criminal] sim=0.656,recklessness [criminal] sim=0.645,corruption [criminal] sim=0.642,
wrongdoing,因本身過失 ☛參看 de son tort,criminal,0.7143,inadvertent negligence [civil] sim=0.779,manslaughter [criminal] sim=0.774,negligence [civil] sim=0.763,corruption [criminal] sim=0.758,theft [criminal] sim=0.752,recklessness [criminal] sim=0.746,larceny [criminal] sim=0.740,
further charge,再進行押記,criminal,0.7143,co-accused [criminal] sim=0.709,indictment [criminal] sim=0.703,penalty [criminal] sim=0.700,extortion [criminal] sim=0.688,prosecution [criminal] sim=0.676,extradition [international] sim=0.673,trespass on the case [civil] sim=0.666,
stand charged,須予押記,criminal,0.7143,accused [criminal] sim=0.711,summons [procedure] sim=0.700,trespass on the case [civil] sim=0.692,co-accused [criminal] sim=0.690,penalty [criminal] sim=0.682,remand [criminal] sim=0.678,indictment [criminal] sim=0.672,
terrorist financing,恐怖分子資金籌集,criminal,0.7143,conspiracy to defraud [criminal] sim=0.647,extortion [criminal] sim=0.617,mortgaged [civil] sim=0.592,blackmail [criminal] sim=0.592,criminalisation [criminal] sim=0.588,conspiracy [criminal] sim=0.587,extraterritoriality [international] sim=0.581,
dangerous,附表的危險藥物,criminal,0.7143,recklessness [criminal] sim=0.741,manslaughter [criminal] sim=0.709,penalty [criminal] sim=0.701,murder [criminal] sim=0.700,assault [criminal] sim=0.698,occupational safety [labor_social] sim=0.687,torture [civil] sim=0.673,
extradite,引渡,criminal,0.7143,extradition [international] sim=0.903,extraterritoriality [international] sim=0.726,extortionate [criminal] sim=0.725,accomplice [criminal] sim=0.716,remand [criminal] sim=0.710,extortion [criminal] sim=0.710,criminalise [criminal] sim=0.705,
psychotropic,《精神藥物公約》,criminal,0.7143,Convention on Psychotropic Substances [international] sim=0.740,probation [criminal] sim=0.618,recidivism [criminal] sim=0.618,recidivist [criminal] sim=0.612,extortionate [criminal] sim=0.603,probationary [criminal] sim=0.600,protocol [international] sim=0.598,
hostage,《反對劫持人質國際公約》,criminal,0.7143,refugee [international] sim=0.744,torture [civil] sim=0.696,robbery [criminal] sim=0.689,imprisonment [criminal] sim=0.687,extortionate [criminal] sim=0.675,extortion [criminal] sim=0.673,accomplice [criminal] sim=0.654,
drug,混合藥物,criminal,0.7143,patent [civil] sim=0.681,freedom [constitutional] sim=0.660,battery [criminal] sim=0.659,probation [criminal] sim=0.654,manslaughter [criminal] sim=0.653,recidivism [criminal] sim=0.650,conviction [criminal] sim=0.648,
violence,實際使用暴力,criminal,0.7143,murder [criminal] sim=0.800,homicide [criminal] sim=0.788,assault [criminal] sim=0.777,manslaughter [criminal] sim=0.730,torture [civil] sim=0.725,extortion [criminal] sim=0.719,genocide [international] sim=0.718,
abused,性侵犯,criminal,0.7143,assault [criminal] sim=0.755,torture [civil] sim=0.734,extortionate [criminal] sim=0.732,distorted [civil] sim=0.723,accused [criminal] sim=0.718,extortion [criminal] sim=0.702,corruption [criminal] sim=0.688,
accusation,指控,criminal,0.7143,accused [criminal] sim=0.886,indictment [criminal] sim=0.841,co-accused [criminal] sim=0.796,assault [criminal] sim=0.781,prosecution [criminal] sim=0.765,pleading [procedure] sim=0.763,duplicitous pleading [procedure] sim=0.758,
addiction,戒毒所,criminal,0.7143,recidivism [criminal] sim=0.741,freedom [constitutional] sim=0.694,recklessness [criminal] sim=0.691,theft [criminal] sim=0.681,gratification [international] sim=0.679,corruption [criminal] sim=0.677,conviction [criminal] sim=0.671,
alarm,使……感到受侮辱、困擾或驚恐,criminal,0.7143,burglary [criminal] sim=0.699,summons [procedure] sim=0.638,battery [criminal] sim=0.631,robbery [criminal] sim=0.631,hearsay [procedure] sim=0.618,going equipped for burglary [criminal] sim=0.617,theft [criminal] sim=0.609,
alcohol,神智不清（不論是酒精還是藥物引致）,criminal,0.7143,freedom [constitutional] sim=0.687,murder [criminal] sim=0.679,divorce [civil] sim=0.664,manslaughter [criminal] sim=0.656,recidivism [criminal] sim=0.653,recklessness [criminal] sim=0.652,theft [criminal] sim=0.649,
alibi,就被告辯稱不在犯罪現場所作的指引,criminal,0.7143,accomplice [criminal] sim=0.710,manslaughter [criminal] sim=0.688,surety [civil] sim=0.685,robbery [criminal] sim=0.663,perjury [criminal] sim=0.663,innocent misrepresentation [civil] sim=0.662,murder [criminal] sim=0.659,
alleged,指稱中的,criminal,0.7143,accused [criminal] sim=0.853,indictment [criminal] sim=0.759,co-accused [criminal] sim=0.736,conspiracy [criminal] sim=0.728,assault [criminal] sim=0.708,hearsay [procedure] sim=0.707,duplicitous pleading [procedure] sim=0.705,
